status;debouze;debouze;public;Bonjour à tous, je m'appelle Elodie et je viens d'arriver dans la société en tant que commerciale.
comment;azla;;;Bienvenue à toi ! Tu trouveras sur notre intranet toutes les informations dont tu as besoin pour travailler !
comment;bellamie;;public;Bienvenue à notre nouvelle recrue. Donnez le meilleur de vous-même.
status;azla;ce;public;Le CE vous rappelle que des tickets de réduction pour le théâtre sont disponible dans le local ! Venez nombreux !
status;guidon;ce;public;Le CE vous offre un chèque cadeau de 10€ pour Noël !
status;guidon;ce;network;Les filles, vous êtes sûres que c'est 10€ ? J'ai un gros doute !!
comment;azla;;;Oui oui c'est bien 10€, j'ai vérifié.
comment;guidon;;;Merci ma belle !
status;artemons;artemons;public;Bonjour à tous, c'est un plaisir de vous retrouver sur notre Intranet flambant neuf !
status;artemons;artemons;public;N'hésitez pas à me solliciter si vous avez besoin de quoi que ce soit.
comment;lebeau;;;...ou à parler à votre manager bien entendu...
document;lebeau;direction;public;Présentation COGIP;presentation_cogip.html;Aide,Management
document;ribocha;baskey_club;public;Présentation Basket-Club;presentation_cogip.html
status;vidal;vidal;network;Pfff... je galère dans mon secteur, vous avez pas des tuyaux ?
comment;larmet;;;Tu as quoi comme problème ? Manque de clients ?
comment;vidal;;;J'arrive pas à prospecter, on me traite de parisienne !
comment;azla;;;Et en essayant de prendre l'accent ? Ça passe mieux ?
comment;vidal;;;Je viens d'essayer et ça marche nickel ! Merci Sab !

